id,song,artist,album,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,genres,release date,artist popularity,track popularity
3gq7RBia7mWquzTSQWtIEt,Fruity,Rubblebucket,Fruity,2018.06.01,0.644,0.628,9,-7.471,0,0.102,0.0257,0.0824,0.101,0.542,117.049,4,"['chamber pop', 'indie pop', 'indie psych-rock', 'indietronica', 'shimmer pop']",5/22/18,44,51
7KA4W4McWYRpgf0fWsJZWB,See You Again,"Tyler, The Creator",Flower Boy,2018.06.01,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49E-06,0.109,0.62,78.558,4,"['hip hop', 'rap']",7/21/17,75,77
2kTWcP2fid9TKLdcRuiAq4,Street Fighter Mas,Kamasi Washington,Heaven and Earth,2018.06.01,0.6,0.662,9,-8.285,0,0.0941,0.58,0.952,0.1,0.707,80.856,4,"['contemporary jazz', 'jazz saxophone']",6/22/18,57,54
1gC6SzIgqKz8mF4fSYCF9H,Escape,Sudan Archives,Sink,2018.06.02,0.746,0.556,7,-9.9,1,0.0345,0.167,0.244,0.129,0.448,110.025,3,"['escape room', 'indie r&b']",5/25/18,44,37
1PId8NktNh86yXf8wtf8yU,Modern Act,Cloud Nothings,Life Without Sound,2018.06.02,0.356,0.897,2,-3.82,1,0.0734,0.0019,0.000103,0.277,0.719,153.069,4,"['alternative rock', 'chillwave', 'dance-punk', 'freak folk', 'garage rock', 'indie pop', 'indie punk', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'noise pop', 'noise rock', 'nu gaze', 'popgaze', 'preverb']",1/27/17,45,39
1sKpay0q1lsH8RgafNzdI1,Sympathique,Pink Martini,Sympathique,2018.06.02,0.571,0.352,5,-11.946,1,0.0531,0.728,0,0.096,0.775,129.443,4,"['lounge', 'vocal jazz']",2006,55,51
0oLQRGhq7ltPDF6ThfqQdc,TRIP,BROCKHAMPTON,SATURATION,2018.06.03,0.775,0.308,6,-12.652,1,0.0905,0.215,1.43E-05,0.104,0.633,75.954,4,"['boy band', 'hip hop', 'indie r&b', 'rap']",6/9/17,73,55
0B5J2lmZAPmD9h0LQd8Tvn,Break-Thru,Dirty Projectors,Break-Thru,2018.06.03,0.8,0.507,2,-5.5,1,0.0778,0.276,0.013,0.234,0.824,103.973,4,"['alternative rock', 'art pop', 'brooklyn indie', 'chamber pop', 'chillwave', 'dream pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie r&b', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'shimmer pop', 'stomp and holler']",5/2/18,55,56
6L6NiTAFUXqU2qp2zy2bH5,Audio Visual,Jeen Bassa,All My People,2018.06.08,0.624,0.793,4,-12.555,0,0.046,0.525,0.362,0.477,0.692,96.757,4,[],3/26/18,15,3
0jgFLQyzpD8HTJopZd6Yit,slow syrup,serpentwithfeet,soil,2018.06.09,0.283,0.516,2,-8.652,1,0.0484,0.688,0.000124,0.296,0.115,86.636,5,"['art pop', 'chamber psych', 'escape room', 'fluxwork', 'indie r&b']",6/8/18,45,37
46aq48rYvkjZJtz3Q4U9Zu,invoice,serpentwithfeet,soil,2018.06.09,0.255,0.399,9,-10.051,0,0.055,0.477,0,0.167,0.144,65.046,4,"['art pop', 'chamber psych', 'escape room', 'fluxwork', 'indie r&b']",6/8/18,45,39
6l637Rw5n5FSe54hNPNYOU,fragrant,serpentwithfeet,soil,2018.06.09,0.479,0.313,6,-11.613,0,0.126,0.324,3.90E-05,0.114,0.173,80.047,4,"['art pop', 'chamber psych', 'escape room', 'fluxwork', 'indie r&b']",6/8/18,45,41
5vi7QLYP7mhhfRX2cpqbck,mourning song,serpentwithfeet,soil,2018.06.09,0.499,0.429,0,-8.759,1,0.0764,0.803,8.48E-05,0.1,0.241,79.93,4,"['art pop', 'chamber psych', 'escape room', 'fluxwork', 'indie r&b']",6/8/18,45,44
0p1rnxXKJeDb3oujoRX4ZG,whisper,serpentwithfeet,soil,2018.06.09,0.28,0.376,7,-8.269,0,0.0335,0.813,0.000422,0.0893,0.306,133.551,4,"['art pop', 'chamber psych', 'escape room', 'fluxwork', 'indie r&b']",6/8/18,45,47
6b6it91QPWJmy8Rhqipvo3,messy,serpentwithfeet,soil,2018.06.09,0.447,0.564,8,-9.145,1,0.144,0.615,0.000179,0.111,0.321,136.467,4,"['art pop', 'chamber psych', 'escape room', 'fluxwork', 'indie r&b']",6/8/18,45,45
3lz2JgAt4cyr04qDlBgTOv,Watch Me,Jaden Smith,SYRE,2018.06.10,0.734,0.722,0,-4.872,1,0.071,0.0108,0.000201,0.157,0.229,129.927,4,"['hip hop', 'pop', 'rap']",11/17/17,72,65
7AwXQNm39lNZV7MfEjK2LX,Shadows,Ruth B.,Dear White People Soundtrack Season 2 (A Netflix Original Series Soundtrack),2018.06.10,0.566,0.533,9,-7.574,0,0.0371,0.224,0.000118,0.339,0.321,125.73,4,"['pop', 'post-teen pop', 'viral pop']",5/4/18,65,51
3PdVyPYoC8jj7HwlDrKSHY,It's Okay,Land Of Talk,Some Are Lakes,2018.06.10,0.409,0.435,8,-10.347,0,0.0251,0.47,0.203,0.11,0.466,84.475,4,"['art pop', 'canadian indie', 'garage psych', 'indie pop', 'indie psych-rock', 'indie rock', 'preverb']",9/16/08,38,35
0ZixUPF4gB7DRJLhTRL7DP,A Movie Script Ending,Death Cab for Cutie,The Photo Album,2018.06.10,0.509,0.748,9,-7.778,1,0.028,0.0155,0.00692,0.0742,0.541,92.028,4,"['folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'pop rock', 'stomp and holler']",2001,64,42
5wnr5XbLzsd3v7X6nyL4Lm,Stronger Than Ever - The Internet Remix,Raleigh Ritchie,Black and Blue Point Two,2018.06.11,0.558,0.586,1,-6.985,1,0.183,0.138,0,0.0788,0.105,121.812,5,[],4/14/14,50,35
70Tf2nUzVd9UfyJHwM5lic,Come Over,The Internet,Come Over,2018.06.11,0.525,0.603,5,-7.954,0,0.188,0.0918,0.206,0.129,0.691,92.032,4,"['escape room', 'hip hop', 'indie r&b', 'neo soul', 'r&b']",5/30/18,63,66
23Io6otFAPFd1SaE15k4RL,Endless,Obongjayar,Endless,2018.06.13,0.669,0.931,5,-6.739,0,0.0569,0.0378,0.00132,0.111,0.0368,120.006,4,[],7/20/17,31,32
2OgjDbgrHAOhU4lD2G64w8,Forget Forgive,Someone,Forget Forgive,2018.06.13,0.382,0.321,11,-13.123,1,0.0376,0.686,0.908,0.111,0.179,158.21,4,[],11/15/17,29,45
3pvmkjuacq6719H5su9ixl,Black Car,Beach House,7,2018.06.13,0.41,0.575,9,-9.839,0,0.0294,0.323,0.84,0.111,0.265,77.469,4,"['art pop', 'chamber pop', 'chillwave', 'dream pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic']",5/11/18,65,57
1hu7wC5M5RvEsKQ6P2AXps,PDA,Interpol,Turn On The Bright Lights,2018.06.13,0.235,0.905,6,-5.832,0,0.0689,2.12E-05,0.899,0.0872,0.277,138.219,4,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'new wave', 'rock']",8/19/02,65,51
3cqlkaIi21c5IrTzwbgKBs,We Cool,BOSCO,b.,2018.06.13,0.736,0.677,5,-7.507,0,0.0512,0.406,0.00218,0.103,0.465,151,4,"['escape room', 'indie r&b']",8/11/17,34,26
2D6o0igW2N8QotrQeYneIu,Only Acting,Kero Kero Bonito,TOTEP,2018.06.13,0.677,0.723,7,-5.111,1,0.182,0.0572,0,0.268,0.474,124.01,4,"['escape room', 'future funk']",2/20/18,53,40
4twxnnTwdGvF9CDfNDpY5s,Storefront,The Cactus Channel,Stay a While,2018.06.13,0.457,0.539,8,-9.502,0,0.0335,0.455,0.0376,0.119,0.495,152.329,4,[],11/3/17,35,35
4vRf8lasPrZOytGizPT06B,I Was A Fool,Sunflower Bean,Twentytwo in Blue,2018.06.13,0.555,0.795,0,-5.364,1,0.0344,0.156,3.20E-05,0.345,0.553,123.036,4,"['alt-indie rock', 'art pop', 'brooklyn indie', 'chamber psych', 'garage psych', 'indie psych-rock', 'preverb']",3/23/18,42,42
1szcqjv31ORgVlb9hrrY9V,Try Me,Kero Kero Bonito,Bonito Generation,2018.06.13,0.907,0.568,10,-6.742,1,0.0451,0.0409,0.00467,0.0693,0.659,107.017,4,"['escape room', 'future funk']",10/21/16,53,40
4IgZYpyFE5Me2D7ZnBewNE,Only Acting - Radio Edit,Kero Kero Bonito,Only Acting,2018.06.13,0.71,0.715,0,-4.553,1,0.0769,0.0939,0,0.199,0.701,123.972,4,"['escape room', 'future funk']",2/12/18,53,36
1U13SSgDOxK98L1FTWYrjQ,untitled 04 | 08.14.2014.,Kendrick Lamar,untitled unmastered.,2018.06.14,0.525,0.121,4,-21.487,0,0.199,0.854,0,0.462,0.175,99.905,4,"['hip hop', 'pop rap', 'rap', 'west coast rap']",3/4/16,87,50
4A5FLaZI3Ni5eT0c9fqi8F,Fire Flies,Gorillaz,The Now Now,2018.06.14,0.346,0.511,4,-10.022,0,0.044,0.278,0.0456,0.122,0.212,134.927,3,"['alternative hip hop', 'art pop']",6/29/18,80,71
3V8vWoCbKbfjNrPaQ4YtSg,untitled 05 | 09.21.2014.,Kendrick Lamar,untitled unmastered.,2018.06.14,0.488,0.63,0,-9.839,1,0.508,0.374,0,0.163,0.413,154.152,4,"['hip hop', 'pop rap', 'rap', 'west coast rap']",3/4/16,87,53
28luqgS4NCuFKP6YSOtia5,Foreplay,Jalen Santoy,Foreplay,2018.06.14,0.73,0.422,5,-6.211,0,0.0678,0.123,0.00292,0.105,0.505,118.427,4,"['deep underground hip hop', 'underground hip hop']",7/7/16,53,66
4M2t7bP4Mq87mGMn0PObUX,untitled 06 | 06.30.2014.,Kendrick Lamar,untitled unmastered.,2018.06.14,0.667,0.558,4,-11.341,0,0.0433,0.0992,6.89E-06,0.225,0.647,89.179,4,"['hip hop', 'pop rap', 'rap', 'west coast rap']",3/4/16,87,54
